Code	Location	Office location	Jurisdiction area	Annotations
MH-36	Bhandara	Location: National Highway 6, Bhandara	Jurisdiction: Entire Bhandara District	
MH-37	Washim	Location: Lakhala, Washim	Jurisdiction: Entire Washim District	
MH-38	Hingoli	Location: Limbala Matka, Hingoli	Jurisdiction: Entire Hingoli District	
MH-39	Nandurbar	Location: Sakri Road, Nandurbar	Jurisdiction: Entire Nandurbar District	
MH-40	Nagpur Rural	Location: Indora, Nagpur	Jurisdiction: Entire Nagpur District except Nagpur Urban Taluka	
MH-41	Malegaon, Nashik District	Location: Camp, Malegaon	Jurisdiction: Talukas of Malegaon, Satana, Kalwan, Deola, Nandgaon	
MH-42	Baramati, Pune District	Location: Bhigwan Road, Baramati	Jurisdiction: Talukas of Baramati, Indapur, Daund	
MH-43	Navi Mumbai, Thane District	Location: Vashi Sector 19B, Navi Mumbai	Jurisdiction: Airoli to CBD Belapur and surrounding areas in Thane Taluka	
MH-44	Ambajogai, Beed District	Location: Morewadi, Ambajogai	Jurisdiction: Talukas of Ambajogai, Kaij, Vadvani, Majalgaon, Parli, Dharur	
MH-45	Akluj, Solapur District	Location: Anand Nagar, Akluj, Malshiras Taluka	Jurisdiction: Talukas of Malshiras, Madha, Sangola, Karmala	
MH-46	Panvel, Raigad District	Location: Kalamboli, Panvel	Jurisdiction: Kharghar to Panvel suburbs in Navi Mumbai, Talukas of Panvel, Uran, Khalapur, Karjat	
MH-47	Mumbai North	Location: Dahisar West, Mumbai Suburban District	Jurisdiction: Goregaon to Dahisar in Mumbai Suburban District	
MH-48	Palghar	Location: Bhatpara, Virar East	Jurisdiction: Vasai-Virar City Limits and whole of Palghar District	
MH-49	Nagpur East	Location: Chikhali Layout, Nagpur	Jurisdiction: Eastern Suburbs of Nagpur City	
MH-50	Karad, Satara District	Location: Supane, Karad Town	Jurisdiction: Karad and Patan Talukas	
MH-51	Ichalkaranji, Kolhapur District	Location: Vikash Nagar, Ichalkaranji	Jurisdiction: Ichalkaranji Town and Talukas of Hatkanangle and Shirol	
MH-52	Chalisgaon, Jalgaon District	Location: Shastri Nagar, Bhadgaon Road, Chalisgaon	Jurisdiction: Chalisgaon Taluka	
MH-53	Phaltan, Satara District	Location: Sanmati Nagar, Shinganpur Road, Shivaji Nagar, Phaltan	Jurisdiction: Talukas of Phaltan and Man	
MH-54	Bhadgaon, Jalgaon District	Location: Mauje Tongaon, Bhadgaon - Pachora Marg, Opp. Ashirwad Jining, Bhadgaon, Jalgaon	Jurisdiction: Talukas of Bhadgaon, Pachora, Parola, Amalner, Chopada, Erandol, Dharangaon	
MH-55	Udgir, Latur District	Location: Venkatesh Nagar, Ramchandra Nagar, Udgir	Jurisdiction: Talukas of Udgir, Deoni, Jalkot, Shirur Anantpal and Ahmadpur	
MH-56	Khamgaon, Buldhana District	Location: Near JV Mehta New Era High School, Khamgaon	Jurisdiction: Talukas of Khamgaon, Nandura, Shegaon, Malkapur, Jalgaon Jamod and Sangrampur	Yet to appear on Vahan Website	
MH-57	Vaijapur, Aurangabad District	Location:	Jurisdiction:	Yet to appear on Vahan Website
MH-58	Mira-Bhayander, Thane District	Location:	Jurisdiction:
